,Habitaciones,Baños,Estrato,Estado,Antigüedad,Piso N°,Administración,Precio m²,Tipo de apartamento,Parqueaderos,Precio,Área construída (m²),Área privada (m²)
266,3.0,1.0,3.0,Excelente,1 a 8 años,2.0,No definida,"$ 2.678.571,43*m²",,, 150000000,56 ,53 
267,,,,,,,,,,, 143000000,,
268,3.0,1.0,3.0,Bueno,1 a 8 años,6.0,$ 60.000 COP,"$ 2.045.454,55*m²",,1, 90000000,44 ,44 
269,3.0,2.0,3.0,,9 a 15 años,3.0,$ 61.000 COP,$ 2.500.000*m²,,, 120000000,48 ,43 
270,3.0,2.0,3.0,Excelente,9 a 15 años,5.0,No definida,$ 2.500.000*m²,,, 120000000,48 ,0 
271,3.0,1.0,3.0,Excelente,,2.0,No definida,"$ 2.363.636,36*m²",,, 130000000,55 ,52 
272,4.0,2.0,3.0,Excelente,1 a 8 años,3.0,$ 90.000 COP,"$ 2.383.333,33*m²",,, 143000000,60 ,60 
273,2.0,2.0,3.0,Excelente,1 a 8 años,1.0,$ 60.000 COP,"$ 2.452.830,19*m²",,1, 130000000,53 ,0 
274,,,,,,,,,,, 115000000,,
275,3.0,1.0,3.0,,1 a 8 años,,$ 90.000 COP,$ 2.500.000*m²,,, 145000000,58 ,58 
276,3.0,1.0,2.0,Excelente,1 a 8 años,3.0,$ 80.000 COP,"$ 2.632.653,06*m²",,, 129000000,49 ,0 
277,3.0,1.0,3.0,,,,$ 80.000 COP,"$ 2.194.915,25*m²",Loft,, 129500000,59 ,59 
278,2.0,2.0,3.0,Excelente,1 a 8 años,1.0,$ 60.000 COP,"$ 2.452.830,19*m²",,1, 130000000,53 ,0 
279,3.0,1.0,2.0,Excelente,9 a 15 años,5.0,No definida,$ 2.360.000*m²,Loft,, 118000000,50 ,50 
280,3.0,1.0,3.0,,16 a 30 años,,No definida,"$ 2.234.042,55*m²",,, 105000000,47 ,47 
281,3.0,2.0,3.0,,1 a 8 años,,$ 75.000 COP,"$ 2.327.272,73*m²",,, 128000000,55 ,55 
282,2.0,2.0,3.0,,1 a 8 años,1.0,$ 60.000 COP,"$ 2.452.830,19*m²",,1, 130000000,53 ,0 
283,3.0,2.0,2.0,,16 a 30 años,,$ 80.000 COP,"$ 2.222.222,22*m²",,1, 120000000,54 ,54 
284,2.0,1.0,2.0,Excelente,9 a 15 años,1.0,No definida,"$ 1.836.734,69*m²",,, 90000000,49 ,0 
285,2.0,1.0,3.0,,1 a 8 años,,No definida,"$ 1.844.444,44*m²",,, 83000000,45 ,45 
286,2.0,1.0,2.0,Excelente,menor a 1 año,2.0,$ 70.000 COP,$ 1.875.000*m²,,, 90000000,48 ,48 
287,2.0,1.0,2.0,,1 a 8 años,5.0,$ 55.000 COP,"$ 1.928.571,43*m²",,, 108000000,56 ,56 
288,3.0,1.0,3.0,Bueno,9 a 15 años,2.0,No definida,"$ 2.414.634,15*m²",,, 99000000,41 ,0 
289,3.0,2.0,3.0,,1 a 8 años,,$ 95.000 COP,"$ 2.450.980,39*m²",Loft,, 125000000,51 ,0 
290,3.0,1.0,2.0,Bueno,16 a 30 años,3.0,No definida,$ 1.975.000*m²,,, 79000000,40 ,40 
291,,,,,,,,,,, 152152000,,
292,2.0,1.0,3.0,Bueno,9 a 15 años,1.0,No definida,"$ 2.565.789,47*m²",,, 97500000,38 ,38 
293,3.0,1.0,3.0,Remodelado,1 a 8 años,6.0,$ 50 COP,"$ 2.142.857,14*m²",,, 150000000,70 ,64 
294,,,,,,,,,,, 130625000,,
295,2.0,1.0,3.0,,1 a 8 años,6.0,$ 60.000 COP,"$ 2.023.809,52*m²",,, 85000000,42 ,0 
296,3.0,2.0,3.0,Bueno,1 a 8 años,2.0,$ 50.000 COP,"$ 2.145.454,55*m²",,, 118000000,55 ,55 
297,3.0,2.0,3.0,Excelente,9 a 15 años,6.0,No definida,"$ 2.421.052,63*m²",,, 138000000,57 ,0 
298,2.0,1.0,3.0,Bueno,1 a 8 años,4.0,$ 70.000 COP,"$ 2.441.860,47*m²",,, 105000000,43 ,43 
299,3.0,2.0,3.0,,,4.0,No definida,"$ 2.307.692,31*m²",,, 120000000,52 ,0 
300,3.0,2.0,3.0,Bueno,9 a 15 años,4.0,No definida,"$ 2.208.333,33*m²",,, 106000000,48 ,48 
301,,,,,,,,,,, 170000000,,
302,3.0,2.0,2.0,Excelente,9 a 15 años,2.0,No definida,"$ 1.985.294,12*m²",,, 135000000,68 ,68 
303,3.0,1.0,3.0,Excelente,,2.0,No definida,"$ 2.363.636,36*m²",,, 130000000,55 ,52 
304,3.0,2.0,3.0,,9 a 15 años,,No definida,$ 2.187.500*m²,,1, 140000000,64 ,64 
305,3.0,2.0,3.0,Excelente,9 a 15 años,6.0,$ 60.000 COP,"$ 1.545.454,55*m²",,, 85000000,55 ,55 
306,3.0,2.0,3.0,Excelente,1 a 8 años,1.0,$ 72.000 COP,$ 2.440.000*m²,,, 122000000,50 ,50 
307,3.0,2.0,3.0,Excelente,menor a 1 año,6.0,No definida,"$ 1.781.818,18*m²",,1, 98000000,55 ,51 
308,2.0,1.0,3.0,Bueno,1 a 8 años,4.0,No definida,"$ 2.280.487,8*m²",,, 93500000,41 ,41 
309,2.0,1.0,3.0,,,,$ 51.000 COP,"$ 3.023.255,81*m²",,1, 130000000,43 ,43 
310,3.0,1.0,2.0,Bueno,16 a 30 años,1.0,$ 20.000 COP,"$ 1.744.186,05*m²",,1, 75000000,43 ,40 
311,2.0,1.0,3.0,,9 a 15 años,,$ 65.000 COP,$ 2.500.000*m²,,, 110000000,44 ,44 
312,2.0,1.0,2.0,,,,No definida,"$ 2.653.061,22*m²",,, 130000000,49 ,49 
313,2.0,1.0,3.0,,9 a 15 años,,$ 55.000 COP,"$ 1.772.727,27*m²",,, 78000000,44 ,44 
314,3.0,1.0,3.0,Bueno,9 a 15 años,2.0,$ 56.700 COP,"$ 2.242.553,19*m²",,, 105400000,47 ,42 
315,,,,,,,,,,, 139000000,,
316,2.0,1.0,3.0,Bueno,16 a 30 años,3.0,$ 50.000 COP,"$ 2.553.191,49*m²",,, 120000000,47 ,42 
317,3.0,2.0,3.0,Bueno,1 a 8 años,1.0,$ 80.000 COP,"$ 2.245.901,64*m²",,, 137000000,61 ,61 
318,3.0,2.0,3.0,Excelente,1 a 8 años,2.0,$ 72.000 COP,"$ 2.159.420,29*m²",,, 149000000,69 ,70 
319,3.0,1.0,3.0,Excelente,1 a 8 años,2.0,No definida,"$ 2.083.333,33*m²",,, 100000000,48 ,0 
